City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
252,ad darbasiyah,37.0728,40.652,16.22,77,75,1.03,SY,1730645148
253,bafq,31.6128,55.4107,25.87,22,1,2.36,IR,1730645149
254,mega,4.05,38.3,19.45,66,40,4.3,ET,1730645150
255,puerto deseado,-47.7503,-65.8938,17.4,30,25,15.45,AR,1730644871
256,falun,60.6036,15.626,11.23,66,100,2.24,SE,1730645153
257,kukmor,56.1855,50.8944,-1.46,64,100,7.46,RU,1730645154
258,monrovia,6.3005,-10.7969,29.05,68,32,4.41,LR,1730645155
259,marand,38.4329,45.7749,12.17,76,100,2.25,IR,1730645157
260,chilliwack,49.1747,-121.9443,7.03,96,100,0.51,CA,1730644738
261,pasuquin,18.3328,120.6177,25.97,83,20,1.03,PH,1730645159
262,ancud,-41.8697,-73.8203,10.15,86,100,7.03,CL,1730644879
263,kandhkot,28.244,69.1824,29.96,19,0,1.97,PK,1730645161
264,bikenibeu village,1.3673,173.1241,26.98,89,75,0.51,KI,1730645162
265,changji,44.0167,87.3167,7.44,81,0,2.0,CN,1730645163
266,enriquillo,17.9,-71.2333,28.36,70,30,3.38,DO,1730645164
267,nova sintra,14.8667,-24.7167,25.75,82,32,10.0,CV,1730645166
268,east ballina,-28.8667,153.5833,20.23,90,58,5.7,AU,1730645168
269,nova vicosa,-17.8919,-39.3719,27.81,63,100,3.96,BR,1730645169
270,altay,47.8667,88.1167,-0.36,69,63,3.46,CN,1730645170
271,north bend,43.4065,-124.2243,9.59,100,100,2.57,US,1730645171
272,lhasa,29.65,91.1,9.26,37,100,2.52,CN,1730645172
273,weno,7.4515,151.8468,28.97,79,75,3.09,FM,1730645173
274,martapura,-3.4167,114.85,25.05,94,40,0.0,ID,1730645175
275,pisco,-13.7,-76.2167,21.12,73,0,3.6,PE,1730645177
276,olinda,-8.0089,-34.8553,29.85,54,20,5.66,BR,1730645178
277,maues,-3.3836,-57.7186,39.12,26,1,2.16,BR,1730645179
278,birjand,32.8663,59.2211,24.26,19,0,3.09,IR,1730645180
279,chernomorskoye,45.5039,32.6997,8.68,51,13,5.18,UA,1730645181
280,port moresby,-9.4431,147.1797,26.68,78,100,4.12,PG,1730645182
281,ritchie,-29.038,24.6028,24.24,45,95,16.35,ZA,1730645183
282,dapchi,12.4904,11.4944,33.46,13,84,3.78,NG,1730645185
283,wangqing,43.3218,129.7634,5.3,91,100,1.02,CN,1730645186
284,rio verde de mato grosso,-18.9181,-54.8442,29.67,57,100,3.26,BR,1730645187
285,vanimo,-2.6741,141.3028,25.76,85,100,0.43,PG,1730645188
286,kyren,51.6828,102.1408,-6.3,55,0,1.03,RU,1730645189
287,antsohihy,-14.8796,47.9875,28.4,67,0,4.48,MG,1730645190
288,nadym,65.5333,72.5167,0.61,98,100,10.26,RU,1730645191
289,guilin,25.2819,110.2864,18.06,64,87,2.38,CN,1730644991
290,morki,56.4303,48.9947,-1.29,64,100,5.1,RU,1730645193
291,vilyuchinsk,52.9306,158.4028,-7.85,76,43,3.73,RU,1730645194
292,khao yoi,13.2403,99.8243,24.7,90,99,2.55,TH,1730645196
293,lionel town,17.8101,-77.2406,29.92,63,0,2.53,JM,1730645197
294,natal,-5.795,-35.2094,30.36,58,75,9.26,BR,1730645198
295,tondano,1.3038,124.9112,21.05,98,80,0.59,ID,1730645199
296,east london,-33.0153,27.9116,22.52,78,40,4.63,ZA,1730645107
